,0,1
1027,55,79
1028,55,55
1029,55,108
1030,55,56
1031,64,91
1032,80,105
1033,80,82
1034,80,92
1035,80,199
1036,80,163
1037,100,118
1038,100,94
1039,100,95
1040,81,151
1041,81,55
1042,81,91
1043,81,340
1044,81,92
1045,81,95
1046,81,200
1047,81,126
1048,81,137
1049,81,93
1050,81,103
1051,88,86
1052,88,64
1053,88,88
1054,88,56
1055,88,340
1056,88,95
1057,88,131
1058,88,199
1059,88,137
1060,88,102
1061,88,93
1062,88,103
1063,197,183
1064,197,197
1065,197,82
1066,197,94
1067,197,190
1068,197,340
1069,197,341
1070,197,200
1071,197,131
1072,197,199
1073,197,126
1074,197,287
1075,197,288
1076,197,321
1077,197,291
1078,197,322
1079,197,132
1080,197,103
1081,342,205
1082,342,206
1083,342,199
1084,342,126
1085,342,343
1086,342,344
1087,342,345
1088,342,191
1089,68,66
1090,68,54
1091,68,55
1092,68,109
1093,68,74
1094,68,191
1095,68,274
1096,71,63
1097,71,106
1098,71,64
1099,71,117
1100,71,236
1101,71,346
1102,71,186
1103,71,241
1104,71,177
1105,71,178
1106,71,274
1107,98,316
1108,98,105
1109,98,108
1110,98,82
1111,98,99
1112,98,56
1113,98,278
1114,98,140
1115,98,198
1116,98,116
1117,98,341
1118,98,92
1119,98,200
1120,98,347
1121,98,74
1122,98,279
1123,98,191
1124,108,79
1125,108,109
1126,108,56
1127,108,200
1128,108,74
1129,108,112
1130,108,93
1131,108,323
1132,108,305
1133,108,348
1134,72,72
1135,72,117
1136,72,242
1137,72,199
1138,72,74
1139,72,112
1140,72,186
1141,72,178
1142,181,140
1143,181,305
1144,184,73
1145,184,186
1146,152,151
1147,152,112
1148,152,153
1149,152,101
1150,152,202
1151,152,164
1152,152,165
1153,152,204
1154,152,166
1155,152,349
1156,109,159
1157,109,221
1158,109,117
1159,109,350
1160,109,160
1161,109,110
1162,109,200
1163,109,74
1164,109,112
1165,109,127
1166,109,158
1167,109,235
1168,109,169
1169,109,351
1170,109,348
1171,109,194
1172,109,220
1173,109,226
1174,109,352
1175,109,353
1176,109,237
1177,109,173
1178,109,174
1179,109,228
1180,109,250
1181,109,240
1182,109,354
1183,109,176
1184,109,241
1185,109,177
1186,109,355
1187,109,217
1188,117,205
1189,117,293
1190,117,108
1191,117,115
1192,117,160
1193,117,161
1194,117,111
1195,117,341
1196,117,162
1197,117,112
1198,117,127
1199,117,153
1200,117,165
1201,117,196
1202,117,169
1203,117,346
1204,117,351
1205,117,356
1206,117,348
1207,117,186
1208,117,220
1209,117,357
1210,117,172
1211,117,226
1212,117,352
1213,117,173
1214,117,174
1215,117,354
1216,117,230
1217,117,176
1218,117,241
1219,117,177
1220,117,178
1221,114,76
1222,114,78
1223,114,185
1224,114,117
1225,114,89
1226,114,110
1227,114,202
1228,114,93
1229,114,142
1230,242,84
1231,242,85
1232,242,106
1233,242,86
1234,242,201
1235,242,64
1236,242,100
1237,242,350
1238,242,207
1239,242,103
1240,242,240
1241,242,358
1242,115,108
1243,115,109
1244,115,114
1245,115,340
1246,115,110
1247,115,126
1248,115,74
1249,115,112
1250,115,127
1251,350,86
1252,350,156
1253,350,72
1254,350,119
1255,350,56
1256,350,74
1257,350,112
1258,350,103
1259,350,186
1260,225,159
1261,225,117
1262,225,359
1263,225,160
1264,225,110
1265,225,162
1266,225,127
1267,225,153
1268,225,196
1269,225,172
1270,225,352
1271,225,237
1272,225,229
1273,225,238
1274,359,152
1275,359,109
1276,359,117
1277,359,110
1278,359,127
1279,359,158
1280,359,267
1281,359,220
1282,359,237
1283,359,360
1284,160,205
1285,160,115
1286,160,160
1287,160,207
1288,160,111
1289,160,110
1290,160,341
1291,160,74
1292,160,112
1293,160,163
1294,160,127
1295,160,196
1296,160,249
1297,160,346
1298,160,220
1299,160,269
1300,160,357
1301,160,226
1302,160,256
1303,160,352
1304,160,353
1305,160,173
1306,160,174
1307,160,272
1308,160,361
1309,160,244
1310,160,260
1311,160,362
1312,160,354
1313,160,230
1314,160,176
1315,160,241
1316,160,177
1317,160,178
1318,160,261
1319,160,363
1320,160,364
1321,160,365
1322,161,206
1323,161,109
1324,161,115
1325,161,350
1326,161,341
1327,161,112
1328,161,249
1329,161,219
1330,161,269
1331,161,174
1332,161,354
1333,161,230
1334,161,176
1335,161,209
1336,161,245
1337,161,241
1338,161,177
1339,161,178
1340,161,366
1341,161,232
1342,207,159
1343,207,71
1344,207,109
1345,207,114
1346,207,116
1347,207,341
1348,207,74
1349,207,112
1350,207,235
1351,207,346
1352,207,367
1353,207,191
1354,207,253
1355,207,254
1356,207,227
1357,207,243
1358,207,240
1359,207,260
1360,207,230
1361,207,209
